,City,State,Businesses,Stars_Avg,Category_Avg,Stars,Category
423,Masaryktown,FL,4,4.25,3.5,17.0,14
424,Truckee,CA,5,4.7,3.2,23.5,16
425,Waterford Works,NJ,3,4.5,3.0,13.5,9
426,Tuson,AZ,1,4.0,2.0,4.0,2
427,Belleair Bluffs,FL,30,3.6666666666666665,4.866666666666666,110.0,146
428,St Rose,LA,2,3.0,3.0,6.0,6
429,Lawrenceville,NJ,5,3.0,4.0,15.0,20
430,Concord Township,PA,5,2.3,4.4,11.5,22
431,Bear,DE,3,2.8333333333333335,3.6666666666666665,8.5,11
432,Indian Shores,FL,13,3.769230769230769,4.615384615384615,49.0,60
433,Hammonton,NJ,10,4.1,5.5,41.0,55
434,South Pasadena,FL,31,3.596774193548387,4.67741935483871,111.5,145
435,Folcroft,PA,19,3.9210526315789473,3.6315789473684212,74.5,69
436,Gloucester City,NJ,11,3.727272727272727,4.090909090909091,41.0,45
437,Webster Grvs,MO,1,5.0,4.0,5.0,4
438,West Conshohocken,PA,4,3.25,4.25,13.0,17
439,Easttown Township,PA,33,3.3484848484848486,3.8181818181818183,110.5,126
440,phoenixville,PA,1,5.0,7.0,5.0,7
441,Meterie,LA,1,4.5,9.0,4.5,9
442,Evesham,NJ,9,3.6666666666666665,5.0,33.0,45
443,Berlin Township,NJ,3,3.3333333333333335,2.6666666666666665,10.0,8
444,Redingtn Shor,FL,3,3.5,4.333333333333333,10.5,13
445,Pennsburg,PA,14,3.0357142857142856,4.071428571428571,42.5,57
446,Frontenac,MO,11,3.409090909090909,3.909090909090909,37.5,43
447,New Britain,PA,9,4.0,3.6666666666666665,36.0,33
448,New Prt Rchy,FL,1,5.0,4.0,5.0,4
449,Elsmere,DE,4,3.5,4.5,14.0,18
450,Boone,NC,2,2.5,5.5,5.0,11
451,Mercerville,NJ,2,3.5,4.5,7.0,9
452,Rock Hill,MO,10,2.75,4.5,27.5,45
453,Lower Chichester Township,PA,18,3.5833333333333335,3.6666666666666665,64.5,66
454,Stratford,NJ,19,3.6315789473684212,3.9473684210526314,69.0,75
455,Belle Chase,LA,2,3.25,3.0,6.5,6
456,Abington Township,PA,2,4.0,4.0,8.0,8
457,Twin Oaks,MO,4,3.0,3.75,12.0,15
458,Dade City,FL,8,4.125,5.0,33.0,40
459,lutz,FL,3,4.0,2.6666666666666665,12.0,8
460,Sun City,FL,2,2.5,4.5,5.0,9
461,O fallon,IL,7,2.857142857142857,4.571428571428571,20.0,32
462,Murfreesboro,TN,2,4.5,4.0,9.0,8
463,Salem,NJ,9,3.3333333333333335,4.444444444444445,30.0,40
464,Titusville,NJ,2,4.0,4.0,8.0,8
465,Bridge City,LA,4,4.0,6.5,16.0,26
466,Lavergne,TN,2,3.25,4.0,6.5,8
467,Pittsgrove Township,NJ,3,4.166666666666667,4.0,12.5,12
468,Logan Township,NJ,7,3.642857142857143,4.285714285714286,25.5,30
469,Talleyville,DE,4,3.875,7.0,15.5,28
470,Roebling,NJ,2,4.5,2.5,9.0,5
471,Elmwood,LA,7,3.9285714285714284,4.714285714285714,27.5,33
472,KIRKWOOD,MO,1,2.5,2.0,2.5,2
473,West Norriton Township,PA,8,3.6875,6.75,29.5,54
474,Meadowbrook,PA,3,3.0,2.6666666666666665,9.0,8
475,Brooksville,FL,2,4.0,4.0,8.0,8
476,Westtown Township,PA,2,4.5,5.0,9.0,10
477,Lower Pottsgrove Township,PA,1,4.5,4.0,4.5,4
478,Lemay,MO,2,1.75,3.0,3.5,6
479,Ellisville,MO,1,5.0,6.0,5.0,6
480,Oakville,MO,4,3.5,6.0,14.0,24
481,Westampton Township,NJ,1,3.5,2.0,3.5,2
482,Lula Lula,HI,1,3.5,10.0,3.5,10
483,Sunset Hills,MO,20,3.425,5.05,68.5,101
484,TWN N CNTRY,FL,1,4.0,4.0,4.0,4
485,Edgewater Park,NJ,6,2.9166666666666665,4.333333333333333,17.5,26
486,Breckenridge Hills,MO,3,3.0,5.333333333333333,9.0,16
487,Pike Creek,DE,2,4.0,3.5,8.0,7
488,Balm,FL,2,4.5,4.5,9.0,9
489,Bedminster Township,PA,17,3.323529411764706,3.588235294117647,56.5,61
490,Delanco,NJ,2,4.5,4.5,9.0,9
491,Upper Darby PA,PA,1,3.5,4.0,3.5,4
492,East Lansdowne,PA,3,3.0,2.3333333333333335,9.0,7
493,Lemay Ferry,MO,1,2.0,5.0,2.0,5
494,Kenneth City,FL,19,3.5,3.6315789473684212,66.5,69
495,Spruce Grove,AB,1,4.0,3.0,4.0,3
496,Carneys Point,NJ,6,3.5833333333333335,4.5,21.5,27
497,telford,PA,1,3.0,4.0,3.0,4
498,Town   County,MO,1,3.5,4.0,3.5,4
499,Carrollwood,FL,2,3.0,6.5,6.0,13
500,Dumont,CO,1,4.0,3.0,4.0,3
501,Trainer,PA,3,4.333333333333333,3.6666666666666665,13.0,11
502,Pennington,NJ,4,2.875,3.0,11.5,12
503,Kuna,ID,5,3.9,4.4,19.5,22
504,Town And Country,MO,4,3.375,5.25,13.5,21
505,East Alton,IL,8,3.0,4.0,24.0,32
506,Red Hill,PA,2,3.25,6.0,6.5,12
507,National Park,NJ,4,3.625,5.25,14.5,21
508,Greenfield,IN,7,2.642857142857143,3.5714285714285716,18.5,25
509,East Marlborough Township,PA,2,3.75,4.5,7.5,9
510,New Jersey,NJ,1,3.5,8.0,3.5,8
511,Bryn Athyn,PA,5,4.4,4.8,22.0,24
512,Mantua Township,NJ,6,3.75,4.0,22.5,24
513,Jefferson Parish,LA,1,4.0,7.0,4.0,7
514,East St Louis,IL,1,4.0,2.0,4.0,2
515,Eastampton,NJ,8,3.5,4.625,28.0,37
516,Pagedale,MO,1,4.0,2.0,4.0,2
517,Upper Pittsgrove Township,NJ,2,3.5,6.0,7.0,12
518,Springhill,FL,1,4.0,2.0,4.0,2
519,Burlington Township,NJ,5,2.9,3.0,14.5,15
520,Summerland,CA,22,4.136363636363637,4.636363636363637,91.0,102
521,West Goshen Township,PA,2,3.75,4.5,7.5,9
522,Scott Air Force Base,IL,6,4.083333333333333,4.333333333333333,24.5,26
523,Pinecrest West Park,FL,1,4.5,6.0,4.5,6
524,Toughkenamon,PA,5,4.4,4.6,22.0,23
525,W Cherry Hill,NJ,1,3.0,2.0,3.0,2
526,Aldan,PA,5,3.5,3.4,17.5,17
527,Pass a Grille Beach,FL,1,4.5,3.0,4.5,3
528,Pemberton,NJ,3,3.6666666666666665,3.0,11.0,9
529,Tierra Verde,FL,13,4.3076923076923075,5.076923076923077,56.0,66
530,lawrence,IN,1,4.5,6.0,4.5,6
531,Washoe Valley,NV,3,4.166666666666667,5.666666666666667,12.5,17
532,Pennsauken Township,NJ,13,3.3461538461538463,4.6923076923076925,43.5,61
533,Hadden,NJ,1,4.5,6.0,4.5,6
534,Almonesson,NJ,1,4.0,5.0,4.0,5
535,West Vincent Township,PA,1,5.0,7.0,5.0,7
536,New Pt Richey,FL,1,4.0,6.0,4.0,6
537,Mount Lemmon,AZ,5,3.6,3.6,18.0,18
538,Charlack,MO,1,3.5,2.0,3.5,2
539,Pegram,TN,2,4.25,4.0,8.5,8
540,Lawrence Township,NJ,8,3.875,3.75,31.0,30
541,Mehville,MO,1,3.0,6.0,3.0,6
542,Pine Hill,NJ,11,2.727272727272727,3.909090909090909,30.0,43
543,Rosewood Heights,IL,1,5.0,6.0,5.0,6
544,Haddon Twp,NJ,2,2.0,2.0,4.0,4
545,Marlborough,MO,2,3.0,5.5,6.0,11
546,Madison,IL,2,3.5,2.5,7.0,5
547,Cortaro,AZ,3,3.6666666666666665,5.0,11.0,15
548,Worcester Township,PA,9,3.7777777777777777,3.888888888888889,34.0,35
549,Upper Chichester,PA,6,3.25,5.166666666666667,19.5,31
550,Berry Hill,TN,4,4.125,5.75,16.5,23
551,Ashland,TN,1,3.0,2.0,3.0,2
552,South County,MO,1,4.0,3.0,4.0,3
553,Bethalto,IL,3,2.8333333333333335,3.6666666666666665,8.5,11
554,Valencia West,AZ,1,4.0,3.0,4.0,3
555,Tullytown,PA,2,4.25,4.0,8.5,8
556,Mantua,NJ,14,3.392857142857143,4.428571428571429,47.5,62
557,Saint John,MO,2,3.0,4.5,6.0,9
558,Boise  Meridian ,ID,1,2.5,7.0,2.5,7
559,Rillito,AZ,1,4.5,4.0,4.5,4
560,Winslow,NJ,1,3.0,2.0,3.0,2
561,Fairview Hts ,IL,2,2.25,3.0,4.5,6
562,Ste C,FL,1,4.0,4.0,4.0,4
563,Violet,LA,1,3.5,4.0,3.5,4
564,Catalina,AZ,5,4.6,5.0,23.0,25
565,Feasterville trevose,PA,1,4.5,4.0,4.5,4
566,Upper Gwynedd Township,PA,3,3.5,5.0,10.5,15
567,SAINT LOUIS,MO,1,1.5,2.0,1.5,2
568,Haddon,NJ,1,4.5,6.0,4.5,6
569,metairie,LA,1,4.0,2.0,4.0,2
570,Pilesgrove Township,NJ,3,4.0,3.6666666666666665,12.0,11
571,Summerhaven,AZ,1,3.0,1.0,3.0,1
572,Yardley Boro,PA,1,5.0,6.0,5.0,6
573,Meraux,LA,3,3.8333333333333335,5.333333333333333,11.5,16
574,West Hill,CA,1,5.0,2.0,5.0,2
575,Oldmans,NJ,1,2.5,2.0,2.5,2
576,Cedar Brook,NJ,3,3.1666666666666665,3.3333333333333335,9.5,10
577,Santa Ynez,CA,1,5.0,7.0,5.0,7
578,Medford Lakes,NJ,2,4.25,4.5,8.5,9
579,WEST CHESTER,PA,1,3.5,3.0,3.5,3
580,clifton heights,PA,1,4.0,2.0,4.0,2
581,Mt  Ephraim,NJ,2,2.75,5.0,5.5,10
582,Marshallton,DE,3,3.6666666666666665,3.3333333333333335,11.0,10
583,riverview,FL,1,4.5,4.0,4.5,4
584,Ivyland,PA,9,3.6666666666666665,6.111111111111111,33.0,55
585,Christiana,DE,10,3.15,4.5,31.5,45
586,Beverly,NJ,9,3.8333333333333335,3.7777777777777777,34.5,34
587,Bordentown Township,NJ,1,4.0,5.0,4.0,5
588,Hulmeville,PA,4,3.875,4.25,15.5,17
589,S Pasadena,FL,1,5.0,3.0,5.0,3
590,Pennsville Township,NJ,5,4.0,3.2,20.0,16
591,Southampton Township,NJ,2,3.25,5.0,6.5,10
592,Mccordsville,IN,2,4.5,3.5,9.0,7
593,Sappington,MO,5,3.9,3.8,19.5,19
594,Wyndlake Condominium,FL,1,3.5,2.0,3.5,2
595,College Place,WA,1,4.5,2.0,4.5,2
596,St louis,MO,2,4.0,5.0,8.0,10
597,Bensalem Township,PA,2,4.25,5.0,8.5,10
598,LOWER PROVIDENCE,PA,1,5.0,3.0,5.0,3
599,Mc Cordsville,IN,1,1.5,3.0,1.5,3
600,Corona de Tucson,AZ,2,4.75,3.5,9.5,7
601,Washington Park,IL,1,3.5,11.0,3.5,11
602,San Antonio,FL,6,2.75,5.5,16.5,33
603,Creve Couer,MO,1,5.0,5.0,5.0,5
604,land o lakes,FL,1,4.5,3.0,4.5,3
605,Waggaman,LA,1,3.5,2.0,3.5,2
606,Rose Valley,PA,2,3.25,3.0,6.5,6
607,Luling,LA,6,3.4166666666666665,3.3333333333333335,20.5,20
608,Upper Frederick Township,PA,5,3.7,5.8,18.5,29
609,Kings Beach,CA,1,5.0,4.0,5.0,4
610,Bradenton,FL,1,5.0,5.0,5.0,5
611,Pennsaulen,NJ,1,1.0,5.0,1.0,5
612,Woodson Terrace,MO,1,3.5,3.0,3.5,3
